"","Site","Sample_type","Species","Hybrid","Elevation_cat","Elevation_m","Longitude","Latitude","Sample","Dup_ID","Unique_ID","LT","ACI","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"65","BMLZ","sample","L","Y","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_L005",240,4.7,0.25,0.6,241503,277180,0.128714193,-0.890373561862297,0.672097857935718,2.38021124171161,-0.602059991327962,-0.221848749616356
"66","BMLZ","sample","L","Y","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_L005",340,4.9,0.22,0.8,241503,277180,0.128714193,-0.890373561862297,0.690196080028514,2.53147891704225,-0.657577319177794,-0.0969100130080564
"67","BMLZ","sample","L","Y","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_L005",310,4.5,0.3,NA,241503,277180,0.128714193,-0.890373561862297,0.653212513775344,2.49136169383427,-0.522878745280338,NA
"68","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,1,"","LYFB_G001",335,5.7,0.39,0.3,660262,683865,0.034514122,-1.46200317009271,0.755874855672491,2.52504480703685,-0.408935392973501,-0.522878745280338
"69","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,1,"","LYFB_G001",305,6.6,0.35,0.1,660262,683865,0.034514122,-1.46200317009271,0.819543935541869,2.48429983934679,-0.455931955649724,-1
"70","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,1,"","LYFB_G001",437,6,0.39,0.2,660262,683865,0.034514122,-1.46200317009271,0.778151250383644,2.64048143697042,-0.408935392973501,-0.698970004336019
"71","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,2,"","LYFB_G002",520,4.2,0.54,0.2,988841,1044844,0.053599389,-1.27084016096844,0.6232492903979,2.7160033436348,-0.267606240177031,-0.698970004336019
"72","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,2,"","LYFB_G002",360,5.1,0.37,0.3,988841,1044844,0.053599389,-1.27084016096844,0.707570176097936,2.55630250076729,-0.431798275933005,-0.522878745280338
"73","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,2,"","LYFB_G002",405,6.4,0.61,0.4,988841,1044844,0.053599389,-1.27084016096844,0.806179973983887,2.60745502321467,-0.214670164989233,-0.397940008672038
"74","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,3,"","LYFB_G003",550,5.6,0.62,0.1,1092210,1164549,0.062117609,-1.20678526926818,0.7481880270062,2.74036268949424,-0.207608310501746,-1
"75","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,3,"","LYFB_G003",545,8.3,0.41,0.3,1092210,1164549,0.062117609,-1.20678526926818,0.919078092376074,2.73639650227664,-0.387216143280265,-0.522878745280338
"76","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,3,"","LYFB_G003",580,6.2,0.42,0.3,1092210,1164549,0.062117609,-1.20678526926818,0.792391689498254,2.76342799356294,-0.3767507096021,-0.522878745280338
"77","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,4,"","LYFB_G004",540,5.7,0.58,0.2,1093961,1162816,0.059214012,-1.22757551263134,0.755874855672491,2.73239375982297,-0.236572006437063,-0.698970004336019
"78","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,4,"","LYFB_G004",680,5.3,0.67,0.2,1093961,1162816,0.059214012,-1.22757551263134,0.724275869600789,2.83250891270624,-0.173925197299174,-0.698970004336019
"79","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,4,"","LYFB_G004",430,5,0.46,0.3,1093961,1162816,0.059214012,-1.22757551263134,0.698970004336019,2.63346845557959,-0.337242168318426,-0.522878745280338
"80","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,5,"","LYFB_G005",500,5.9,0.37,0.2,1259328,1340380,0.060469419,-1.21846420414594,0.770852011642144,2.69897000433602,-0.431798275933005,-0.698970004336019
"81","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,5,"","LYFB_G005",550,4.6,0.5,0.3,1259328,1340380,0.060469419,-1.21846420414594,0.662757831681574,2.74036268949424,-0.301029995663981,-0.522878745280338
"82","LYFB","sample","G","","MEDIUM",1565,-119.601395,37.748823,5,"","LYFB_G005",420,6.1,0.5,0.4,1259328,1340380,0.060469419,-1.21846420414594,0.785329835010767,2.6232492903979,-0.301029995663981,-0.397940008672038
"83","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_G001",270,4.2,0.52,0.5,130522,164027,0.204265151,-0.689805720589135,0.6232492903979,2.43136376415899,-0.283996656365201,-0.301029995663981
"84","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_G001",300,4.6,0.36,0.5,130522,164027,0.204265151,-0.689805720589135,0.662757831681574,2.47712125471966,-0.443697499232713,-0.301029995663981
"85","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,1,"","HUOB_G001",360,4.1,0.38,0.4,130522,164027,0.204265151,-0.689805720589135,0.612783856719735,2.55630250076729,-0.42021640338319,-0.397940008672038
"86","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_G002",500,6.2,4.2,0.6,235065,276330,0.14933232,-0.825846187729787,0.792391689498254,2.69897000433602,0.6232492903979,-0.221848749616356
"87","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_G002",380,7.6,6,0.6,235065,276330,0.14933232,-0.825846187729787,0.880813592280791,2.57978359661681,0.778151250383644,-0.221848749616356
"88","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,2,"","HUOB_G002",500,7.2,0.45,0.9,235065,276330,0.14933232,-0.825846187729787,0.857332496431269,2.69897000433602,-0.346787486224656,-0.0457574905606751
"89","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,3,"","HUOB_G003",270,3.9,0.3,0.3,267134,331178,0.193382411,-0.713583029493056,0.591064607026499,2.43136376415899,-0.522878745280338,-0.522878745280338
"90","HUOB","sample","G","","HIGH",1851,-119.273507,37.150723,3,"","HUOB_G003",380,4.3,0.29,0.4,267134,331178,0.193382411,-0.713583029493056,0.633468455579587,2.57978359661681,-0.537602002101044,-0.397940008672038
