"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"367","AGFB_L001","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.8,256,0.21,NA,0.399020686,10,1.03760482675986,0.483100444444444,1.93461183948053,2.82244865839651
"368","AGFB_L010","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,2.96666666666667,302,0.233333333333333,0.2,0.05972451,15,1.00087076025902,0.526876444444444,2.11361279365127,2.72064983107976
"369","AGFB_N003","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,5.03333333333333,317.333333333333,0.303333333333333,0.266666666666667,0.113400445,10,1.5320814524373,0.711150222222222,3.46200716404682,4.62779934864381
"370","AGFB_N004","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,8.1,628.333333333333,0.53,0.4,0.114500223,9,0.917580965617836,0.452280888888889,1.82575334640302,2.50322766613332
"371","AGFB_N005","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.4,457.333333333333,0.306666666666667,0.433333333333333,0.13081262,10,0.724192528510771,0.327612444444444,1.48723751910274,2.06306456140208
"372","AGFB_N007","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,15.7333333333333,303.333333333333,0.386666666666667,0.3,0.124265334,8,1.35452354523691,0.598247111111111,2.48909224465232,3.87491429537026
"373","AGFB_N008","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,5.13333333333333,330.666666666667,0.52,0.6,0.177061151,17,1.8252897021145,0.731502222222222,3.7244256108058,6.20459224225484
"374","AGFB_N009","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,21.4,322,0.593333333333333,0.5,0.119864564,14,1.38779492033546,0.622656,2.65010176390773,4.00600674247154
"375","BHEB_G001","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,2.7,294,0.17,0.2,NA,21,2.0906749066943,0.811712,5.31101291638341,8.09037356942222
"376","BHEB_G003","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,10,444.333333333333,0.643333333333333,2.13333333333333,0.077969898,29,2.09742990528132,0.800689777777778,5.01730412444698,8.14520902966863
"377","BHEB_G005","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,3.66666666666667,360,0.57,0.433333333333333,0.056832137,26,2.14654570393632,0.810855111111111,5.28695227174465,8.55525491364374
"378","BHEB_N008","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,13.1333333333333,267.666666666667,0.553333333333333,0.7,NA,26,1.96790422512512,0.739900444444444,3.84468169453064,7.15566410151292
"379","CCRB_N009","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,4.3,311,0.25,NA,0.511844414,26,2.40197378994403,0.839281777777778,6.22206981991947,11.0449553017702
"380","CFZZ_G004","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,3.96666666666667,346.333333333333,0.2,NA,0.490444966,8,0.461774753162889,0.178058666666667,1.21663184395967,1.58688782150365
